run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
227, 11.130000, 561.519265, -0.000080, -0.000000, -0.000135, -0.000000
228, 11.620000, 561.270952, -0.000109, -0.000000, -0.000188, -0.000000
229, 12.510000, 561.287940, -0.000134, -0.000000, -0.000236, -0.000000
230, 11.820000, 561.805129, -0.000129, -0.000000, -0.000228, -0.000000
231, 11.250000, 561.664820, -0.000113, -0.000000, -0.000199, -0.000000
232, 12.530000, 561.793864, -0.000084, -0.000000, -0.000145, -0.000000
233, 11.800000, 561.731219, -0.000042, -0.000000, -0.000068, -0.000000
234, 11.270000, 561.418712, -0.000005, -0.000000, -0.000002, -0.000000
235, 11.170000, 562.129080, 0.000005, 0.000000, 0.000015, 0.000000
236, 11.080000, 561.856627, 0.000005, 0.000000, 0.000018, 0.000000
237, 11.500000, 561.906874, -0.000004, -0.000000, 0.000002, 0.000000
238, 12.560000, 562.067807, -0.000024, -0.000000, -0.000033, -0.000000
239, 11.820000, 561.696112, -0.000036, -0.000000, -0.000054, -0.000000
240, 11.820000, 562.346697, -0.000081, -0.000000, -0.000136, -0.000000
241, 11.620000, 562.225163, -0.000120, -0.000000, -0.000208, -0.000000
242, 11.760000, 561.965525, -0.000131, -0.000000, -0.000231, -0.000000
243, 11.070000, 562.941730, -0.000128, -0.000000, -0.000227, -0.000000
244, 12.620000, 562.346816, -0.000127, -0.000000, -0.000223, -0.000000
245, 11.820000, 562.446952, -0.000078, -0.000000, -0.000134, -0.000000
246, 11.820000, 563.445449, -0.000029, -0.000000, -0.000044, -0.000000
247, 11.620000, 562.136531, 0.000001, 0.000000, 0.000008, 0.000000
248, 11.050000, 562.639832, 0.000006, 0.000000, 0.000020, 0.000000
249, 11.800000, 562.260628, -0.000005, -0.000000, 0.000000, 0.000000
250, 11.450000, 561.262488, -0.000015, -0.000000, -0.000018, -0.000000
251, 12.510000, 561.921418, -0.000043, -0.000000, -0.000068, -0.000000
252, 11.820000, 562.326074, -0.000070, -0.000000, -0.000116, -0.000000
253, 11.250000, 561.707318, -0.000111, -0.000000, -0.000193, -0.000000
254, 12.530000, 561.864018, -0.000132, -0.000000, -0.000232, -0.000000
255, 11.800000, 562.131047, -0.000133, -0.000000, -0.000234, -0.000000
256, 11.270000, 561.882973, -0.000119, -0.000000, -0.000210, -0.000000
257, 11.170000, 561.855197, -0.000111, -0.000000, -0.000195, -0.000000
258, 11.080000, 561.375439, -0.000095, -0.000000, -0.000165, -0.000000
259, 11.500000, 561.870515, -0.000068, -0.000000, -0.000116, -0.000000
260, 12.560000, 562.056124, -0.000035, -0.000000, -0.000055, -0.000000
261, 11.820000, 561.902523, -0.000004, -0.000000, 0.000000, 0.000000
262, 11.820000, 562.942028, -0.000002, -0.000000, 0.000005, 0.000000
263, 11.620000, 562.684596, -0.000014, -0.000000, -0.000016, -0.000000
264, 11.760000, 562.743902, -0.000023, -0.000000, -0.000031, -0.000000
265, 11.070000, 563.091159, -0.000044, -0.000000, -0.000071, -0.000000
266, 12.620000, 562.667012, -0.000099, -0.000000, -0.000168, -0.000000
267, 11.820000, 563.345075, -0.000132, -0.000000, -0.000232, -0.000000
268, 11.820000, 562.938154, -0.000130, -0.000000, -0.000230, -0.000000
269, 11.500000, 563.262820, -0.000114, -0.000000, -0.000200, -0.000000
270, 11.170000, 563.682675, -0.000103, -0.000000, -0.000181, -0.000000
271, 11.490000, 562.896490, -0.000076, -0.000000, -0.000130, -0.000000
272, 12.530000, 563.630104, -0.000044, -0.000000, -0.000071, -0.000000
273, 11.800000, 563.064635, -0.000010, -0.000000, -0.000009, -0.000000
274, 11.270000, 562.749743, 0.000005, 0.000000, 0.000016, 0.000000
275, 11.170000, 563.689709, 0.000001, 0.000000, 0.000011, 0.000000
276, 11.080000, 562.803149, -0.000004, -0.000000, 0.000001, 0.000000
277, 11.500000, 562.932551, -0.000016, -0.000000, -0.000019, -0.000000
278, 11.880000, 562.767148, -0.000033, -0.000000, -0.000048, -0.000000
279, 11.790000, 561.397851, -0.000073, -0.000000, -0.000122, -0.000000
280, 11.840000, 561.689854, -0.000119, -0.000000, -0.000206, -0.000000
281, 11.800000, 561.420083, -0.000132, -0.000000, -0.000232, -0.000000
282, 11.700000, 560.882986, -0.000127, -0.000000, -0.000224, -0.000000
283, 11.090000, 561.052382, -0.000109, -0.000000, -0.000191, -0.000000
284, 11.760000, 561.964452, -0.000083, -0.000000, -0.000143, -0.000000
285, 11.130000, 562.983096, -0.000039, -0.000000, -0.000062, -0.000000
286, 11.630000, 562.469661, -0.000016, -0.000000, -0.000020, -0.000000
287, 12.510000, 562.988400, -0.000007, -0.000000, -0.000005, -0.000000
288, 11.820000, 563.425899, -0.000011, -0.000000, -0.000010, -0.000000
289, 11.190000, 563.023508, -0.000018, -0.000000, -0.000023, -0.000000
290, 12.590000, 563.673913, -0.000056, -0.000000, -0.000089, -0.000000
291, 11.820000, 562.883973, -0.000090, -0.000000, -0.000153, -0.000000
292, 11.820000, 562.516451, -0.000126, -0.000000, -0.000221, -0.000000
293, 11.680000, 562.566638, -0.000133, -0.000000, -0.000234, -0.000000
294, 10.980000, 561.689913, -0.000120, -0.000000, -0.000212, -0.000000
295, 11.800000, 561.933815, -0.000113, -0.000000, -0.000199, -0.000000
296, 11.330000, 561.761975, -0.000075, -0.000000, -0.000128, -0.000000
