time (in 10s), voltage_device (mV), voltage_esp (mV)
587, 540.063083, 537.3
588, 540.083766, 531.0
589, 540.315032, 549.3
590, 539.948046, 526.2
591, 539.636314, 543.0
592, 539.682865, 537.9
593, 539.973676, 526.8
594, 539.734483, 534.0
595, 539.916217, 542.1
596, 539.999127, 537.3
597, 540.013969, 524.7
598, 540.299773, 533.7
599, 539.978802, 533.4
600, 539.91729, 541.5
601, 540.162563, 543.9
602, 540.130675, 532.8
603, 539.999604, 526.5
604, 539.83587, 542.7
605, 540.067673, 536.1
606, 540.155947, 538.5
607, 540.22336, 522.3
608, 540.240824, 547.2
609, 540.24595, 539.7
610, 539.680064, 520.8
611, 539.486229, 529.5
612, 539.994836, 524.1
613, 540.0455, 530.4
614, 540.139854, 529.8
615, 540.196657, 524.1
616, 539.922714, 540.6
617, 540.464938, 531.6
618, 540.314734, 540.9
619, 539.920986, 529.8
620, 540.048301, 526.5
621, 539.991498, 530.1
622, 540.097892, 533.7
623, 539.990783, 540.9
624, 540.241778, 543.9
625, 540.084362, 542.4
626, 539.988518, 538.5
627, 540.112734, 537.0
628, 539.643764, 541.5
629, 539.562762, 533.1
630, 539.981544, 531.3
631, 540.19177, 546.3
632, 540.148616, 526.5
633, 540.009797, 523.2
634, 540.341556, 531.0
635, 540.435851, 540.6
636, 540.327072, 533.4
637, 540.284872, 531.9
638, 539.65044, 540.6
639, 540.093303, 538.8
640, 540.271819, 527.4
641, 540.074587, 523.2
642, 540.306628, 534.9
643, 540.22181, 556.5
644, 540.162683, 534.0
645, 540.164948, 539.1
646, 540.360689, 525.6
647, 540.427744, 547.2
648, 539.589465, 547.8
649, 539.887488, 547.5
650, 540.371537, 545.1
651, 539.762795, 554.1
652, 540.021539, 555.9
653, 540.198028, 521.7
654, 540.049076, 541.5
655, 540.395141, 546.3
656, 540.426195, 532.5
657, 540.352166, 534.6
658, 540.133059, 523.2
659, 540.014207, 530.7
660, 539.975405, 540.3
661, 540.318549, 545.4
662, 539.807558, 549.3
663, 539.626062, 541.8
664, 540.396988, 535.2
665, 539.948821, 529.8
666, 539.852977, 540.3
667, 540.34245, 530.7
668, 539.746284, 548.7
669, 539.713502, 539.1
670, 540.039062, 515.4
671, 539.636433, 531.0
672, 540.163875, 505.2
673, 540.002584, 525.6
674, 540.137708, 552.6
675, 540.45254, 529.2
676, 539.726317, 554.1
677, 540.087461, 546.3
678, 540.028155, 536.1
679, 539.844275, 529.5
680, 539.978564, 555.3
681, 539.64442, 538.5
682, 540.008247, 542.7
683, 540.248096, 542.4
684, 539.525449, 546.6
685, 539.751232, 561.3
686, 540.296316, 550.8
687, 540.115654, 526.5
688, 539.868057, 533.4
689, 539.799631, 525.9
690, 539.828062, 511.8
691, 539.915323, 534.6
692, 540.02738, 511.8
693, 539.844692, 553.8
694, 539.822936, 528.0
695, 539.592862, 543.9
696, 539.656401, 516.0
697, 540.032625, 517.5
698, 539.795816, 523.2
699, 539.818883, 543.6
700, 540.157914, 554.1
701, 540.475488, 523.5
702, 540.341198, 522.3
703, 540.093064, 518.4
704, 540.004611, 549.9
705, 540.297866, 527.1
706, 540.124953, 522.0
707, 539.775729, 516.6
708, 540.035665, 513.3
709, 539.916217, 556.8
710, 539.629817, 535.8
711, 540.051162, 540.6
712, 540.242136, 513.3
713, 540.188372, 554.1
714, 540.246069, 516.0
715, 539.93082, 564.3
716, 539.872169, 558.9
717, 540.125132, 525.0
718, 539.71678, 532.8
719, 539.935768, 555.3
720, 540.148139, 549.3
721, 539.693773, 522.3
722, 539.876461, 516.6
723, 540.291727, 538.5
724, 540.075243, 548.7
725, 539.985716, 528.3
726, 540.489674, 543.9
727, 539.922535, 547.2
728, 540.062129, 522.6
729, 540.563464, 533.7
730, 540.004551, 541.8
731, 539.949894, 548.4
732, 539.9037, 536.1
733, 540.035963, 541.5
734, 540.052354, 535.5
735, 540.011466, 534.9
736, 539.946258, 529.8
737, 539.714336, 536.4
738, 539.924979, 537.9
739, 539.942384, 542.4
740, 540.314853, 533.7
741, 540.265977, 538.8
742, 540.048897, 526.5
743, 539.946973, 536.7
744, 539.979517, 541.5
745, 540.011406, 529.5
746, 539.867878, 534.9
747, 540.065587, 546.0
748, 539.775372, 545.1
749, 539.752483, 532.5
750, 539.668798, 528.6
751, 540.024996, 542.1
752, 540.5038, 543.3
753, 540.319681, 534.3
754, 540.221512, 545.7
755, 539.945543, 538.5
756, 540.160239, 548.7
757, 540.313482, 547.8
758, 540.269554, 529.8
759, 539.940357, 530.4
760, 540.14653, 534.0
761, 540.492892, 539.7
762, 540.233195, 531.0
763, 539.958239, 533.4
764, 540.073812, 545.4
765, 540.090621, 548.1
766, 540.148497, 536.7
767, 540.301919, 559.5
768, 540.33196, 542.7
769, 540.154219, 529.2
770, 540.040612, 519.9
771, 540.073991, 540.6
772, 540.080965, 536.4
773, 540.226281, 538.8
774, 540.001452, 529.8
775, 539.98363, 545.4
776, 540.311575, 530.7
777, 540.277481, 537.0
778, 539.813101, 548.1
779, 540.092111, 534.6
780, 540.032446, 535.2
781, 539.839923, 529.5
782, 540.336072, 538.2
783, 539.957643, 537.6
784, 539.92337, 537.6
785, 540.292859, 545.4
786, 539.943159, 547.2
787, 539.929867, 537.3
788, 539.964557, 532.2
789, 539.979637, 549.0
790, 539.850473, 538.5
791, 539.910614, 531.6
792, 540.187538, 530.1
793, 540.03191, 531.9
794, 539.896667, 530.7
795, 539.748788, 546.0
796, 539.864838, 541.5
797, 540.039599, 545.1
798, 539.885819, 540.9
799, 539.971948, 539.7
